Num,Artist,Title,Album,Year,Date,Lyric
10,Billie Eilish,bellyache,dont smile at me,2017,2017-02-24,mind mind   sittin' all alone mouth full of gum in the driveway my friends aren't far in the back of my car lay their bodies  pre where's my mind where's my mind   they'll be here pretty soon lookin' through my room for the money i'm bitin' my nails i'm too young to go to jail it's kinda funny  pre where's my mind where's my mind where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache mind   everything i do the way i wear my noose like a necklace i wanna make 'em scared like i could be anywhere like i'm reckless  pre i lost my mind i don't mind where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache bellyache bellyache bellyache bellyache bellyache bellyache maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache
11,Billie Eilish,you should see me in a crown,WHEN WE ALL FALL ASLEEP WHERE DO WE GO? (Japanese Import),2018,2018-07-18,bite my tongue bide my time wearing a warning sign wait 'til the world is mine visions i vandalize cold in my kingdom size fell for these ocean eyes   you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one   count my cards watch them fall blood on a marble wall i like the way they all scream tell me which one is worse living or dying first sleeping inside a hearse i don't dream   you say come over baby i think you're pretty i'm okay i'm not your baby if you think i'm pretty   you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one   break   crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown you should see me see me your silence is my favorite sound you should see me see me watch me make 'em bow one by one by one one by one by one
12,DuaLipa,Freedom,Lemonade,2016,2016-04-23,DuaLipa tryna rain tryna rain on the thunder tell the storm i'm new i'ma walk i'ma march on the regular painting white flags blue lord forgive me i've been running running blind in truth i'ma rain i'ma rain on this bitter love tell the sweet i'm new  pre DuaLipa i'm telling these tears go and fall away fall away oh may the last one burn into flames   DuaLipa freedom freedom i can't move freedom cut me loose yeah freedom freedom where are you 'cause i need freedom too i break chains all by myself won't let my freedom rot in hell hey i'ma keep running 'cause a winner don't quit on themselves   DuaLipa i'ma wade i'ma wave through the waters tell the tide don't move i'ma riot i'ma riot through your borders call me bulletproof lord forgive me i've been runnin' runnin' blind in truth i'ma wade i'ma wave through your shallow love tell the deep i'm new  pre DuaLipa i'm telling these tears go and fall away fall away oh may the last one burn into flames   DuaLipa freedom freedom i can't move freedom cut me loose freedom freedom where are you 'cause i need freedom too i break chains all by myself won't let my freedom rot in hell hey i'ma keep running 'cause a winner don't quit on themselves   kendrick lamar ten hail marys i meditate for practice channel 9 news tell me i'm movin' backwards eight blocks left death is around the corner seven misleadin' statements 'bout my persona six headlights wavin' in my direction come on fiveo askin' me what's in my possession yeah i keep runnin' jump in the aqueducts fire hydrants and hazardous smoke alarms on the back of us but mama don't cry for me ride for me try for me live for me breathe for me sing for me honestly guidin' me i could be more than i gotta be stole from me lied to me nation hypocrisy code on me drive on me wicked my spirit inspired me like yeah open correctional gates in higher desert yeah open our mind as we cast away oppression yeah open the streets and watch our beliefs and when they carve my name inside the concrete i pray it forever reads   DuaLipa freedom freedom i can't move freedom cut me loose freedom freedom where are you 'cause i need freedom too i break chains all by myself won't let my freedom rot in hell hey i'ma keep running 'cause a winner don't quit on themselves   kendrick lamar what you want from me is it truth you seek oh father can you hear me what you want from me is it truth you seek oh father can you hear me hear me out  spoken hattie white i had my ups and downs but i always find the inner strength to pull myself up i was served lemons but i made lemonade
13,DuaLipa,Don't Hurt Yourself,Lemonade,2016,2016-04-23,DuaLipa oh na na na oh na na na oh na na na don't hurt yourself don't hurt yourself   DuaLipa who the fuck do you think i is you ain't married to no average bitch boy you can watch my fat ass twist boy as i bounce to the next dick boy and keep your money i got my own keep a bigger smile on my face being alone bad motherfucker god complex motivate your ass call me malcolm x yo operator or innovator fuck you hater you can't recreate her no nuhuh you'll never recreate her no hell no  pre  DuaLipa we just got to let it be let it be let it be let it be baby you just got to let it be let it be let it be let it be babe   jack white when you hurt me you hurt yourself don't hurt yourself when you diss me you diss yourself don't hurt yourself when you hurt me you hurt yourself don't hurt yourself don't hurt yourself don't hurt yourself when you love me you love yourself love god herself   DuaLipa i am the dragon breathing fire beautiful mane i'm the lion beautiful man i know you're lying i am not broken i'm not crying i'm not crying you ain't trying hard enough you ain't loving hard enough you don't love me deep enough we not reaching peaks enough blindly in love i fucks with you 'til i realize i'm just too much for you i'm just too much for you  pre  DuaLipa you just got to let it be let it be let it be let it be baby hey baby who the fuck do you think i is i smell that fragrance on your louis knit boy just give my fat ass a big kiss boy tonight i'm fucking up all your shit boy   DuaLipa  jack white when you hurt me you hurt yourself try not to hurt yourself when you play me you play yourself don't play yourself when you lie to me you lie to yourself you only lying to yourself don't hurt yourself when you love me you love yourself love god herself   DuaLipa we just got to let it be let it be let it be let it be let it be babe uh this is your final warning don't hurt yourself you know i give you life don't hurt yourself if you try this shit again don't hurt yourself you gon' lose your wife
14,DuaLipa,Blow,DuaLipa,2013,2013-12-13,i love your face you love the taste that sugar babe it melts away   i kiss you and you lick your lips i kiss you and you lick your lips you like it wet and so do i you like it wet and so do i i know you never waste a drip i know you never waste a drip i wonder how it feels sometimes must be good to you  pre keep me coming keep me going keep me coming keep me going keep me humming keep me moaning keep me humming keep me moaning don't stop loving 'til the morning don't stop loving 'til the morning don't stop screaming freaking blowing   can you eat my skittles it's the sweetest in the middle yeah pink is the flavor solve the riddle yeah i'ma lean back don't worry it's nothing major make sure you clean that it's the only way to get the flavor   when you're thirsty and need love i give it up 'til i'm empty babe must be good to you if you're lonely in your bed fill it up to the top must be good to you  pre keep me coming keep me going keep me coming keep me going keep me humming keep me moaning keep me humming keep me moaning don't stop loving 'til the morning don't stop loving 'til the morning don't stop screaming freaking blowing   can you eat my skittles it's the sweetest in the middle yeah pink is the flavor solve the riddle yeah i'ma lean back don't worry it's nothing major make sure you clean that it's the only way to get the flavor  interlude i'm about to get into this girls this is for all the grown women out there   i can't wait 'til i get home so you can tear that cherry out turn that cherry out turn that cherry out i can't wait 'til i get home so you can tear that cherry out turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out   ooh i've had a naughty thought today baby every time i close my eyes ooh get a glimpse of this candy paint dont slip off when it drip off on top of your ride when you see it here lift it up then toss it babe i know everything you want i'ma show you how i stroke stroke it bring ya work home on top of me i'ma let you be the be the boss of me i know everything you want give me that daddy long stroke   i can't wait 'til i get home so you can tear that cherry out turn that cherry out turn that cherry out i can't wait 'til i get home so you can tear that cherry out turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out i want you to turn that cherry out turn that cherry out  break je ne sais quoi cherie m vle w awsè a se nèt al kole   pre keep me coming keep me going keep me coming keep me going keep me humming keep me moaning keep me humming keep me moaning don't stop loving 'til the morning don't stop loving 'til the morning don't stop screaming freaking blowing   can you eat my skittles it's the sweetest in the middle yeah pink is the flavor solve the riddle yeah
15,Coldplay,Don Quixote,Valad,2015,2015-12-13,Unreleased Songs 2018 nan oooh oooh oooh oooh   so we left la mancha heading out for higher plains me and sancho panza looking for adventure rocinante at the reigns until the windmills answer   you'll never be lonely you'll never be lonely ever again you'll never be lonely you'll never be lonely again i heard you never get wet in spanish rain   so they sent the doctor for examining my brain said he's not too clever when the world when the world just seems a little bit too cruel going to leave it better going to make one better yeah   so tell that princess tell that princess hide down the drain tell that princess she'll never be lonely again i heard you never get wet in spanish rain   oooh oooh i heard you never get wet in spanish rain where the people sing ole ole ole ole ole ole ole ole ole ole coldplay coldplay i heard you never get wet in spanish rain x
16,Nicki Minaj,Starships,Pink Friday: Roman Reloaded,2012,2012-02-14,redone uh   let's go to the beach each let's go get a wave they say what they gonna say have a drink clink found the bud light bad bitches like me is hard to come by the patron own let's go get it on the zone on yes i'm in the zone is it two three leave a good tip i'ma blow off my money and don't give two shits ohoh  pre i'm on the floor floor i love to dance so give me more more 'til i can't stand get on the floor floor like it's your last chance if you want more more then here i am   starships were meant to fly hands up and touch the sky can't stop 'cause we're so high let's do this one more time starships were meant to fly hands up and touch the sky let's do this one last time can't stop  post we're higher than a motherfucka we're higher than a motherfucka we're higher than a motherfucka   jump in my hooptyhooptyhoop i own that and i ain't payin' my rent this month i owe that but fuck who you want and fuck who you like dancehall life there's no end in sight twinkle twinkle little star now everybody let me hear you say ray ray ray now spend all your money 'cause today payday and if you're a g you a ggg my name is onika you can call me nicki  pre get on the floor floor like it's your last chance if you want more more then here i am   starships were meant to fly hands up and touch the sky can't stop 'cause we're so high let's do this one more time starships were meant to fly hands up and touch the sky let's do this one last time can't stop  post we're higher than a motherfucka we're higher than a motherfucka we're higher than a motherfucka   starships were meant to fly hands up and touch the sky can't stop 'cause we're so high let's do this one more time starships were meant to fly hands up and touch the sky let's do this one last time can't stop  post we're higher than a motherfucka we're higher than a motherfucka we're higher than a motherfucka
17,Nicki Minaj,No Flex Zone (Remix),Pink Friday: Roman Reloaded,2014,2014-07-17,swae lee hey no flex zone hey no flex zone hey they know better hey they know better hey no flex zone hey no flex zone hey they know better hey they know better won a gold medal and a gold bezel i treat these hoes special now ya ho jealous freak hoes got several they tens or better i'm a trendsetter i'm a gogetter  verse nicki minaj hell no you can't use my lip gloss pop a perc' now i'm on lift off ass still fat it's on rick ross you bitches make a nigga dick soft bitch ball like i'm at tip off get it get it wet then i rub the tip on rag and bone jeans i can slip off bitch i've been hot since flip phones running this game for five years guess that's why my feet hurt wonder when they bite me do these bitches' teeth hurt yes i am an icon that's me on your tshirt thought you knew better do your fucking research you aint know this the no rip zone this the you can't beat nic zone madison square when the knicks home i live next door to brad pitts home i like bad bitches 'cause they like bad bitches too i like hood niggas with a bad attitude they could never reach young nick' magnitude even if they had a longitude latitude listen up ho this is my territory you are my son like an episode of maury like an episode of er bitch im hotter than the dr when it comes to rap skills nobody wan' see her muhfuckas flexin' muhfuckas actin' bitches is my sons and they causin' contractions aint pushing out i'ma give them to the clinic cah wait we nuh rate dem gyal and dem gimmick   nicki minaj whack sauce i can hear it in your tone this nigga keep staring at my phone but if youre ugly its a no text zone its a no sex zone its a no flex zone whack sauce i can hear it in your tone this nigga keep staring at my phone but if youre ugly its a no text zone its a no sex zone its a no flex zone   swae lee hey no flex zone hey no flex zone hey they know better hey they know better hey no flex zone hey no flex zone hey they know better hey they know better won a gold medal and a gold bezel i treat these hoes special now ya ho jealous freak hoes got several they tens or better i'm a trendsetter i'm a gogetter
18,Rihanna,Close to You,ANTI,2016,2016-01-28,nothing but a tear that's all for breakfast watching you pretend you're unaffected you're pulling our connections expecting me to let you go but i won't  pre i know you don't need my protection but i'm in love can't blame me for checking i love in your direction hoping that the message goes   somewhere close to you close to you like so close if they hurt you you wouldn't find out just say now i'm coming right now to be close to you   said you let it go you kept it working hard to perfect it but now your fear is reckless and it's out of your control well just let it go  pre i know you don't need my protection but i'm in love can't blame me for checking i love in your direction hoping that the message goes   somewhere close to you close to you like so close if they hurt you you wouldn't find out if you let me i'd be there by now close to you  click here to learn more about the making of close to you
19,Rihanna,Woo,ANTI,2016,2016-01-28,refrain travis scott woo woo woo yeah woo woo yeah aw yeah aw yeah aw yeah   rihanna i bet she could never make you cry cause the scars on your heart are still mine tell me that she couldn't get this deep she can almost be the worst of me too bad she's just eating off your dreams let me know when you're ready to bleed baby you just need to send for me   rihanna send for me send for me send for me send for me  refrain travis scott woo woo woo yeah woo woo yeah aw yeah aw yeah aw yeah   rihanna i've been thinking 'bout you late at night i've been thinking only of you ain't nothing else to really talk about boy show me what you want to do these days you've been feeling lonely yeah i've been feeling lonely too i'ma fuck it up won't you show me some run it back like you owe me some  refrain travis scott  rihanna woo woo woo yeah feel me up feel me up woo yeah feel me up feel me up aw yeah aw yeah aw yeah feeling me feeling me feeling me up   rihanna tell me 'bout your pictureperfect love tell me how you think without the drugs maybe you just need to send for me i don't mean to really love ya i don't mean to even care about ya i don't mean to really love ya i don't mean to really care about ya no more i don't mean to really care about ya no more   rihanna send for me send for me send for me send for me   travis scott  rihanna woo feel me up feel me up woo woo yeah feel me up feel me up woo woo yeah send for me send for me send for me aw yeah aw yeah aw yeah woo i don't mean to really love ya i don't mean to even care about ya woo i don't mean to really love ya i don't mean to really care about ya no more woo woo yeah no more i don't mean to really care about ya no more i don't mean to really care about ya no more aw yeah aw yeah aw yeah
20,Ariana Grande,Dangerous Woman,Dangerous Woman,2016,2016-03-11,oh yeah   don't need permission made my decision to test my limits 'cause it's my business god as my witness start what i finished don't need no hold up taking control of this kind of moment i'm locked and loaded completely focused my mind is open  pre all that you got skin to skin oh my god don't you stop boy   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' 'bout   nothing to prove and i'm bulletproof and know what i'm doing the way we're movin' like ducing us to a new thing i wanna savor save it for later the taste the flavor 'cause i'm a taker 'cause i'm a giver it's only nature i live for danger  pre all that you got skin to skin oh my god don't ya stop boy oh yeah   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' 'bout you  post all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout   mmmhmm oohooh   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you eheh makes me wanna do things that i shouldn't yeah somethin' 'bout somethin' 'bout somethin' 'bout you yeah  post all girls wanna be like that hmmmmm bad girls underneath like that you know how i'm feeling inside you know how i'm feeling inside baby somethin' 'bout somethin' 'bout all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout   yeah there's somethin' 'bout you boy heh yeah there's somethin' 'bout you boy ohohoh hey yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy somethin' 'bout somethin' 'bout somethin' 'bout you yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy oh yeah somethin' 'bout somethin' 'bout somethin' 'bout you
21,Ariana Grande,Let Me Love You,Dangerous Woman,2016,2016-04-18,ariana grande i just broke up with my ex now im out here single i dont really know whats next but i aint even trippin' i'ma chill and sit back and i know they will be coming from the right and the left left left i just broke up with my ex and you're the one im feeling as i'm laying on your chest good conversation got me holding my breath and i dont normally say this but goddamn you the best best best  pre ariana grande and if it feels right promise i don't mind and if it feels right promise i'll stay here all night   ariana grande just let me looooooolove you you just let me looooooolove you you just let me looooooolove you you just let me looooooolove you you   ariana grande as i'm laying on your chest i'll be out here thinkin' 'bout it boy it's just a guess but something just keeps telling me i'm better than the rest and i ain't tryna rush you but goddamn i'm a mess mess mess  pre ariana grande and if it feels right promise i don't mind and if it feels right promise i'll stay here all night   ariana grande just let me looooooolove you you just let me looooooolove you you just let me looooooolove you you just let me looooooolove you you   lil wayne i say girl you need a hot boy she say you need to stop  with them thots boy i say you need a real  she say yes lord and what you need your ex for i'm triple x lord okay ariana my lil mama goodbye to the good girl my ex tripping it's no biggie i pac shook her i'm laid up with my new thing she lay her head on my new chain then the mood change then my name change from 'lil wayne' to ooh wayne oh lord she grinding on this grande oh lord i'm drowning i'm gonna need that coast guard and when it comes to that  i give her amnesia she just looking for love she says she single and i'm her feature oh my god   ariana grande  lil wayne you're no good boy just let me love you baby just let me looooooolove you you tunechi mula baby just let me looooooolove you you boy just let me love you yeah yeah ah just let me looooooolove you you she just looking for love i'm looking for love just let me looooooolove you you she just looking for love yeah yeah i'm looking for love baby just let me looooooolove you you she just looking for love yeah i'm looking for love baby just let me looooooolove you you she just looking for love yeah hey yeah yeah yeah she's just looking for love mmm yeah   lil wayne  ariana grande i'ma give her that love yeah he gon' gimme that love she's just looking for love oh boy i'm looking for love baby i'ma give her that love i'ma give her that i'ma give her that
